vivienda,estado_civil,hijos,trabajo,ingresos,gastos_comunes,pago_coche,gastos_otros,ahorros,target
303294,0,0,4,5468,1094,337,221,61055,1
555296,2,4,7,7011,1262,11,393,40803,1
446206,1,1,8,6744,1079,200,576,40679,1
283936,2,3,6,6806,1361,320,437,40751,1
519377,2,3,5,6194,991,339,624,55269,0
657229,1,1,6,5656,905,259,543,57625,0
601935,1,2,6,5730,860,338,295,53734,0
359875,1,4,7,5717,1143,141,214,55043,1
427780,1,2,5,7138,1356,27,209,64027,1
636597,2,0,3,6762,1285,338,215,61728,0
328265,2,1,5,5813,756,108,500,58055,1
345689,1,2,5,5415,1083,84,754,68327,1
559220,2,3,5,5572,1114,87,727,56337,0
311855,1,3,5,6412,769,137,510,47203,1
279795,1,4,6,6503,1301,295,716,55798,1
449413,1,2,5,5558,889,168,679,61867,1
278315,1,2,8,7063,918,293,364,63395,1
455865,0,0,4,6222,809,270,810,41483,0
588004,0,0,0,6325,1139,102,754,68527,0
431159,1,0,0,6264,1065,197,644,55703,0
539242,1,0,0,5593,839,121,416,44487,0
397838,0,0,0,5514,772,147,672,67815,0
552796,0,0,1,6347,1016,13,268,41468,0
455751,1,2,7,6058,969,289,531,50014,1
300240,1,2,7,7877,1339,332,617,56941,1
559906,2,2,5,5848,819,168,652,69366,0
445679,0,0,3,7758,1086,70,230,51489,1
333566,1,4,7,6384,958,346,549,40804,1
303736,1,0,4,7777,1089,213,564,43472,1
487697,2,1,8,7505,1501,302,364,38328,1
643683,1,0,4,5791,811,208,417,40166,0
655399,0,0,1,5646,1016,215,747,69276,0
625528,2,4,6,6495,909,341,788,62320,0
364105,1,3,8,5264,1053,17,691,57408,1
667865,2,0,2,7033,1196,294,216,61329,0
561852,0,0,4,5502,715,299,705,48264,0
662258,0,0,1,6935,971,99,425,65541,0
242562,0,0,3,3586,932,81,382,35361,0
244767,2,1,5,4883,1025,25,444,27294,1
181736,0,0,0,4885,928,8,670,16671,0
391533,0,0,1,4403,1497,18,384,37034,0
365493,0,0,4,3026,787,21,397,30449,0
358242,2,0,1,4714,1414,403,557,37411,0
360791,1,4,6,2974,744,346,746,15982,0
201278,2,3,5,2550,510,73,434,15890,0
313542,0,0,0,3504,1051,447,351,29890,0
234991,2,3,7,2024,486,398,494,14569,0
378697,1,3,5,3084,678,432,448,17211,0
213521,2,3,8,3234,809,368,441,22523,0
328575,2,2,6,4749,1377,355,304,34841,0
394180,2,0,2,3602,1081,145,490,11083,0
310442,2,4,8,4203,1219,203,412,19568,0
282992,1,2,7,3685,1069,111,481,28379,0
274577,0,0,1,3039,1003,447,546,36807,0
304018,1,2,7,2485,572,90,432,18464,0
273334,2,3,7,3641,837,186,627,27808,0
339143,2,1,6,2151,688,95,382,12203,0
310082,0,0,3,2077,644,182,723,12596,0
294150,0,0,3,4276,941,390,728,11718,0
264287,2,1,5,2028,487,411,568,33194,0
390089,0,0,2,4943,1186,402,570,27644,0
275509,2,2,8,2593,596,248,708,16779,0
356201,0,0,2,2064,454,199,666,38718,0
294601,0,0,2,2614,732,375,527,21365,0
211998,2,3,6,4507,811,161,687,36284,1
284984,2,0,3,2028,690,167,325,37309,0
291439,2,3,7,2022,384,88,701,22210,0
350589,1,1,8,3608,686,195,406,36506,0
221634,2,2,7,3973,1112,440,630,17385,0
239707,1,2,8,3395,1120,234,597,37479,0
201983,0,0,0,4434,1375,167,734,29498,0
225841,1,4,5,4025,1369,32,493,38752,1
257224,0,0,2,2308,577,152,657,33131,0
177454,2,2,7,3169,1014,429,705,14867,0
379520,0,0,0,4708,1459,84,567,32314,0
248465,0,0,2,2265,430,394,745,19218,0
180374,2,3,5,2008,643,257,494,25658,0
210261,0,0,1,3796,1025,323,316,35445,0
392957,0,0,3,4653,1024,447,703,16952,0
304112,2,2,5,3390,881,194,584,34601,0
289205,2,2,6,2969,623,72,620,29663,0
239872,2,1,7,4169,1292,48,333,28503,1
223971,1,0,3,4054,1095,371,440,22183,0
363120,0,0,2,3831,690,352,488,10723,0
280421,2,3,8,3961,1030,270,475,21880,0
388025,1,3,8,3184,955,276,684,35565,0
376892,1,2,5,3334,867,369,652,19985,0
257580,0,0,4,3988,1157,105,382,11980,0
400000,0,2,2,6000,1000,0,600,50000,1
636897,1,3,6,6745,944,123,429,43240,0
321779,2,1,8,6455,1033,98,795,57463,1
660933,0,0,3,7098,1278,15,254,54506,0
348932,0,0,3,6167,863,223,520,41512,1
360863,1,4,5,5692,911,11,325,50875,1
429812,1,1,5,6830,1298,345,309,46761,1
606291,0,0,1,6470,1035,39,782,57439,0
291010,0,0,3,6251,1250,209,571,50503,1
324098,2,1,7,6987,1258,252,245,40611,1
577972,0,0,0,7273,1455,303,201,39340,0
427334,2,0,2,5058,1012,74,463,51836,0
524971,2,3,6,5663,793,121,225,67971,1
333239,1,3,8,6139,921,210,387,65438,1
641963,2,2,5,7567,1059,341,339,42462,0
305122,2,0,4,5749,690,291,698,50257,1
365809,1,2,8,5685,910,182,271,66947,1
593711,2,2,7,6722,807,52,779,66020,0
597411,0,0,2,7705,1387,348,366,65410,0
286581,1,1,7,6038,966,53,270,69636,1
455906,2,0,0,6840,889,127,263,50080,0
569270,2,1,8,6519,782,274,232,69934,1
653266,0,0,1,7831,1096,315,229,62661,0
295710,2,1,8,6717,806,265,260,49606,1
340230,0,0,1,5099,867,73,336,40451,1
435700,0,0,3,5897,1061,273,499,64423,0
444817,1,4,5,5294,688,71,725,48188,0
512193,0,0,4,6148,1168,93,413,68048,0
443279,0,0,4,7939,1350,69,552,52197,1
297363,1,4,8,7287,874,143,525,40079,1
338751,2,1,8,7422,1336,230,418,48257,1
560508,1,0,2,6381,766,333,571,43227,0
669540,2,3,5,5163,620,99,696,64331,0
496089,0,0,0,5458,1037,109,393,38791,0
346403,0,0,3,7349,1102,221,402,48110,1
486401,2,1,6,7174,1220,171,824,39913,1
443008,0,0,0,7276,1455,285,384,61125,0
397624,1,3,6,7984,958,181,828,47359,1
302117,1,2,5,6025,964,187,567,63892,1
553305,1,2,7,6692,1205,132,641,64832,0
669054,0,0,0,6822,1296,81,786,50433,0
395608,1,1,5,6044,967,239,615,66145,1
631366,1,1,7,5218,626,2,470,63208,0
619056,2,3,7,7413,890,262,709,68843,1
545659,0,0,3,6952,1043,251,319,43326,0
286808,1,0,4,5515,993,156,247,50121,1
313057,0,0,4,5126,615,258,514,41683,1
357007,1,2,5,5536,720,174,285,49221,1
386817,2,1,6,7180,862,258,268,50418,1
571076,0,0,3,6959,1392,333,818,67714,0
261983,1,2,7,4952,1585,53,566,29597,1
290076,1,1,8,2928,820,25,577,28184,0
224583,2,1,7,2036,550,403,617,32738,0
265455,1,3,5,3961,951,423,366,10746,0
262250,0,0,1,2516,755,64,601,16649,0
228510,1,4,7,3382,710,94,357,24576,1
288956,2,0,3,4119,906,251,643,24196,0
233354,1,0,1,3951,1027,443,569,24268,0
335019,0,0,0,4792,1198,90,655,32444,0
349870,0,0,1,3731,1045,320,304,39448,0
212121,2,3,7,4736,947,21,647,26689,1
380195,1,1,7,4433,1374,337,538,11171,0
341337,0,0,1,4909,1424,323,610,16475,0
317379,1,3,8,3105,559,318,690,31271,0
398611,0,0,1,2138,449,228,617,13923,0
196232,2,1,6,2274,728,161,378,26207,0
209280,2,1,8,2032,569,348,513,17902,0
254237,0,0,3,3361,1008,63,746,25404,0
229343,2,1,5,3043,578,290,460,28647,0
182365,0,0,4,3473,660,107,428,25235,1
216440,2,2,6,3162,822,64,453,26270,0
281640,1,1,8,4473,1208,308,684,23830,0
177774,2,1,7,2937,705,437,405,13268,0
301332,1,1,8,4553,1502,18,745,28731,0
365570,0,0,1,3733,821,188,514,15647,0
298841,2,3,8,2409,554,392,435,29014,0
203052,0,0,1,2369,474,131,438,19537,0
289485,2,4,8,4503,1441,224,685,26001,0
365449,1,3,6,4606,1336,54,532,10319,0
266681,2,0,2,3806,761,198,524,21906,0
330991,2,1,6,3218,611,222,341,39174,0
279323,0,0,3,4927,1429,141,398,33863,0
176553,2,0,0,3784,1173,448,394,17709,0
393544,2,0,2,3437,687,56,623,11642,0
191190,1,3,8,4648,1116,419,686,24874,1
240479,2,3,6,4799,1344,205,339,11116,1
218574,1,0,3,3976,1153,394,366,11697,0
220179,2,4,8,3299,627,155,526,11972,0
316114,1,1,6,4224,972,428,718,18604,0
254359,0,0,2,3000,600,200,398,27572,0
394390,0,0,0,2828,707,364,631,36993,0
257331,2,2,7,2825,904,247,693,16953,0
245454,2,1,7,4426,1328,152,480,11593,1
245131,0,0,2,4532,816,224,383,13921,1
362523,0,0,4,2448,636,158,638,32723,0
227634,2,2,6,4517,1310,89,529,25960,1
266595,0,0,4,4505,1171,343,627,37943,0
377254,0,0,4,3080,585,285,521,16260,0
327691,1,4,6,3543,992,91,372,30918,0
210701,0,0,4,2039,387,258,362,25537,0
339501,2,2,5,3437,687,201,735,21260,0
380000,2,1,5,6500,1100,0,700,55000,1
665167,1,0,3,6332,1266,32,252,55641,0
488643,2,1,5,7289,1458,209,243,41233,1
385908,2,2,8,5552,999,338,564,52012,1
655720,2,0,4,7420,1336,243,660,39328,0
661009,0,0,2,6205,1179,240,729,56904,0
271947,1,1,5,6771,1354,38,789,64860,1
635848,0,0,2,6813,1090,312,208,54305,0
403197,1,4,8,6152,984,343,793,42935,1
365986,2,4,5,6906,898,319,656,59305,1
608743,2,0,3,7595,1367,292,406,38286,0
343128,0,0,1,6355,953,135,740,38235,1
443477,0,0,4,5862,762,249,334,40529,0
397838,0,0,0,5514,772,147,672,67815,0
552796,0,0,1,6347,1016,13,268,41468,0
455751,1,2,7,6058,969,289,531,50014,1
300240,1,2,7,7877,1339,332,617,56941,1
559906,2,2,5,5848,819,168,652,69366,0
445679,0,0,3,7758,1086,70,230,51489,1
333566,1,4,7,6384,958,346,549,40804,1
